2026-03-31 16:39:34,678 - DEBUG - 'Guardian_Crash' internal package registered!| extra=asctime='2026-03-31 16:39:34,678'
2026-03-31 16:39:34,678 - DEBUG - Trying load 'auth'..| extra=asctime='2026-03-31 16:39:34,678'
2026-03-31 16:39:34,694 - DEBUG - [auth]: detected object module 'domain.WebApp_service.plugin.external.auth.main', finding 'setup_me'..| extra=asctime='2026-03-31 16:39:34,694'
2026-03-31 16:39:34,694 - DEBUG - [auth]:Auth: setup_me finded! object registered into Queue.| extra=asctime='2026-03-31 16:39:34,694'
2026-03-31 16:39:35,381 - DEBUG - ReadHandler: Intialized with fp > <_io.TextIOWrapper name='data/database/privilege/user.json' mode='r' encoding='cp1252'>| extra=asctime='2026-03-31 16:39:35,381'
2026-03-31 16:39:35,381 - DEBUG - [auth]:Flask: object doesn't have 'setup_me' function, skiped!| extra=asctime='2026-03-31 16:39:35,381'
2026-03-31 16:39:35,381 - DEBUG - Trying load 'test'..| extra=asctime='2026-03-31 16:39:35,381'
2026-03-31 16:39:35,428 - DEBUG - [test]: detected object module 'domain.WebApp_service.plugin.external.test.main', finding 'setup_me'..| extra=asctime='2026-03-31 16:39:35,428'
2026-03-31 16:39:35,428 - DEBUG - [test]:Flask: object doesn't have 'setup_me' function, skiped!| extra=asctime='2026-03-31 16:39:35,428'
2026-03-31 16:39:35,428 - DEBUG - [test]:polyplay: setup_me finded! object registered into Queue.| extra=asctime='2026-03-31 16:39:35,428'
2026-03-31 16:39:35,428 - DEBUG - Trying load 'urlshortener'..| extra=asctime='2026-03-31 16:39:35,428'
2026-03-31 16:39:35,444 - DEBUG - [urlshortener]: detected object module 'domain.WebApp_service.plugin.external.urlshortener.main', finding 'setup_me'..| extra=asctime='2026-03-31 16:39:35,444'
2026-03-31 16:39:35,444 - DEBUG - [urlshortener]:Flask: object doesn't have 'setup_me' function, skiped!| extra=asctime='2026-03-31 16:39:35,444'
2026-03-31 16:39:35,444 - DEBUG - [urlshortener]:apiServiceShortener: setup_me finded! object registered into Queue.| extra=asctime='2026-03-31 16:39:35,444'
