2026-03-28 09:38:09,575 - DEBUG - 'Middleware' all resource and security successfully loaded!| extra=asctime='2026-03-28 09:38:09,575'
2026-03-28 09:38:09,575 - DEBUG - Successfully Initialized 'securityMiddleware'| extra=asctime='2026-03-28 09:38:09,575'
2026-03-28 09:38:13,458 - DEBUG - 'Middleware' all resource and security successfully loaded!| extra=asctime='2026-03-28 09:38:13,458'
2026-03-28 09:38:13,458 - DEBUG - Successfully Initialized 'securityMiddleware'| extra=asctime='2026-03-28 09:38:13,458'
2026-03-28 09:38:14,227 - DEBUG - Request: GET / from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:38:14,227'
2026-03-28 09:38:18,330 - DEBUG - Request: GET /static/library/fontawesome-6.7.2/css/all.min.css from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:38:18,330'
2026-03-28 09:38:18,358 - DEBUG - Request: GET /static/framework/bootstrap-5.3.3/css/bootstrap.min.css from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:38:18,358'
2026-03-28 09:38:18,692 - DEBUG - Request: GET /static/natural/js/loader.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:38:18,692'
2026-03-28 09:38:18,828 - DEBUG - Request: GET /static/natural/css/style.css from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:38:18,828'
2026-03-28 09:38:18,977 - DEBUG - Request: GET /static/framework/bootstrap-5.3.3/js/bootstrap.bundle.min.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:38:18,977'
2026-03-28 09:38:20,627 - DEBUG - Request: GET /static/natural/js/app/app.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:38:20,627'
2026-03-28 09:38:20,634 - DEBUG - Request: GET /static/natural/js/shorturl/utilities/alert.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:38:20,634'
2026-03-28 09:38:20,726 - DEBUG - Request: GET /static/natural/js/shorturl/utilities/validator.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:38:20,726'
2026-03-28 09:38:20,733 - DEBUG - Request: GET /static/natural/js/shorturl/utilities/anima.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:38:20,733'
2026-03-28 09:38:20,736 - DEBUG - Request: GET /static/natural/js/shorturl/login/userlog.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:38:20,736'
2026-03-28 09:38:20,743 - DEBUG - Request: GET /static/natural/js/shorturl/landingpg/land.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:38:20,743'
2026-03-28 09:38:21,641 - DEBUG - Request: GET /favicon.ico from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:38:21,641'
2026-03-28 09:38:22,101 - DEBUG - Request: GET /static/library/fontawesome-6.7.2/webfonts/fa-solid-900.woff2 from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:38:22,101'
2026-03-28 09:38:22,104 - DEBUG - Request: GET /static/library/fontawesome-6.7.2/webfonts/fa-brands-400.woff2 from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:38:22,104'
2026-03-28 09:38:22,109 - DEBUG - Request: GET /static/natural/js/api.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:38:22,109'
2026-03-28 09:39:41,856 - DEBUG - Request: GET / from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:39:41,856'
2026-03-28 09:39:42,556 - DEBUG - Request: GET /static/framework/bootstrap-5.3.3/css/bootstrap.min.css from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:39:42,556'
2026-03-28 09:39:42,572 - DEBUG - Request: GET /static/library/fontawesome-6.7.2/css/all.min.css from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:39:42,572'
2026-03-28 09:39:42,610 - DEBUG - Request: GET /static/natural/css/style.css from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:39:42,610'
2026-03-28 09:39:42,773 - DEBUG - Request: GET /static/framework/bootstrap-5.3.3/js/bootstrap.bundle.min.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:39:42,773'
2026-03-28 09:39:42,844 - DEBUG - Request: GET /static/natural/js/loader.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:39:42,844'
2026-03-28 09:39:43,268 - DEBUG - Request: GET /static/natural/js/app/app.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:39:43,268'
2026-03-28 09:39:43,268 - DEBUG - Request: GET /static/natural/js/shorturl/utilities/alert.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:39:43,268'
2026-03-28 09:39:43,299 - DEBUG - Request: GET /static/natural/js/shorturl/utilities/validator.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:39:43,299'
2026-03-28 09:39:43,462 - DEBUG - Request: GET /static/natural/js/shorturl/utilities/anima.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:39:43,462'
2026-03-28 09:39:43,502 - DEBUG - Request: GET /static/natural/js/shorturl/login/userlog.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:39:43,502'
2026-03-28 09:39:43,604 - DEBUG - Request: GET /static/natural/js/shorturl/landingpg/land.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:39:43,604'
2026-03-28 09:39:43,654 - DEBUG - Request: GET /static/natural/js/api.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:39:43,654'
2026-03-28 09:40:21,102 - DEBUG - Request: GET / from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:40:21,102'
2026-03-28 09:40:21,776 - DEBUG - Request: GET /static/framework/bootstrap-5.3.3/css/bootstrap.min.css from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:40:21,776'
2026-03-28 09:40:21,858 - DEBUG - Request: GET /static/library/fontawesome-6.7.2/css/all.min.css from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:40:21,858'
2026-03-28 09:40:21,959 - DEBUG - Request: GET /static/natural/css/style.css from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:40:21,959'
2026-03-28 09:40:22,111 - DEBUG - Request: GET /static/framework/bootstrap-5.3.3/js/bootstrap.bundle.min.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:40:22,111'
2026-03-28 09:40:22,325 - DEBUG - Request: GET /static/natural/js/loader.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:40:22,325'
2026-03-28 09:40:22,974 - DEBUG - Request: GET /static/natural/js/app/app.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:40:22,974'
2026-03-28 09:40:23,228 - DEBUG - Request: GET /static/natural/js/shorturl/utilities/alert.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:40:23,228'
2026-03-28 09:40:23,360 - DEBUG - Request: GET /static/natural/js/shorturl/utilities/validator.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:40:23,360'
2026-03-28 09:40:23,512 - DEBUG - Request: GET /static/natural/js/shorturl/utilities/anima.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:40:23,512'
2026-03-28 09:40:23,564 - DEBUG - Request: GET /static/natural/js/shorturl/login/userlog.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:40:23,564'
2026-03-28 09:40:23,645 - DEBUG - Request: GET /static/natural/js/shorturl/landingpg/land.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:40:23,645'
2026-03-28 09:40:23,737 - DEBUG - Request: GET /static/natural/js/api.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:40:23,737'
2026-03-28 09:40:46,420 - DEBUG - Request: GET / from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:40:46,420'
2026-03-28 09:40:47,436 - DEBUG - Request: GET /static/framework/bootstrap-5.3.3/css/bootstrap.min.css from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:40:47,436'
2026-03-28 09:40:47,525 - DEBUG - Request: GET /static/library/fontawesome-6.7.2/css/all.min.css from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:40:47,525'
2026-03-28 09:40:47,650 - DEBUG - Request: GET /static/natural/css/style.css from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:40:47,650'
